DATE                      R50                 R100                R200
2017-05-03  5.063559412956E-01  5.166666507721E-01  6.144375801086E-01
2017-05-04  5.111228823662E-01  5.099408626556E-01  6.057047247887E-01
2017-05-05  5.291313529015E-01  5.325093865395E-01  6.189944148064E-01
2017-05-08  5.052965879440E-01  5.072541832924E-01  6.147403717041E-01
2017-05-09  5.052965879440E-01  5.102040767670E-01  6.149553656578E-01
2017-05-10  5.129698514938E-01  5.128893852234E-01  6.054687500000E-01
2017-05-11  4.875595569611E-01  5.024154782295E-01  5.970982313156E-01
2017-05-12  4.737956523895E-01  4.919527769089E-01  5.942028760910E-01
2017-05-15  5.150873661041E-01  5.096566677094E-01  6.183844208717E-01
2017-05-16  5.103229284286E-01  5.034852623940E-01  6.050139069557E-01
2017-05-17  3.832715749741E-01  4.305630028248E-01  5.528953075409E-01
2017-05-18  4.092112183571E-01  4.332439601421E-01  5.556792616844E-01
2017-05-19  4.301587343216E-01  4.592711627483E-01  5.687256455421E-01
2017-05-22  4.484399855137E-01  4.624865949154E-01  5.731775164604E-01
2017-05-23  4.494976103306E-01  4.640943109989E-01  5.741254687309E-01
2017-05-24  4.460887908936E-01  4.617032706738E-01  5.638179779053E-01
2017-05-25  4.537770748138E-01  4.646680951118E-01  5.743618011475E-01
2017-05-26  4.527205526829E-01  4.625267684460E-01  5.734071731567E-01
2017-05-30  4.278922379017E-01  4.405781626701E-01  5.509412884712E-01
2017-05-31  4.315900802612E-01  4.486081302166E-01  5.454041957855E-01
2017-06-01  4.889123439789E-01  4.850107133389E-01  5.880398750305E-01
2017-06-02  5.369588136673E-01  5.168539285660E-01  6.018826365471E-01
2017-06-05  4.952481389046E-01  4.943820238113E-01  5.764119625092E-01
2017-06-06  4.683210253716E-01  4.756554365158E-01  5.716657638550E-01
2017-06-07  4.762407541275E-01  4.842161536217E-01  5.777531862259E-01
2017-06-08  5.403693914413E-01  5.264847278595E-01  6.009961366653E-01
2017-06-09  5.556728243828E-01  5.468164682388E-01  6.109573841095E-01
2017-06-12  5.498680472374E-01  5.414659976959E-01  6.137244105339E-01
2017-06-13  5.643460154533E-01  5.532370209694E-01  6.203652620316E-01
2017-06-14  5.400843620300E-01  5.296950340271E-01  6.092971563339E-01
2017-06-15  5.263713002205E-01  5.195291638374E-01  6.001105904579E-01
2017-06-16  5.094936490059E-01  5.114911794662E-01  5.956858396530E-01
2017-06-19  5.445440411568E-01  5.280299186707E-01  6.084070801735E-01
2017-06-20  5.002635717392E-01  5.080042481422E-01  5.851770043373E-01
2017-06-21  4.860305786133E-01  4.887940287590E-01  5.752212405205E-01
2017-06-22  4.918292164803E-01  4.930629730225E-01  5.785398483276E-01
2017-06-23  5.326659679413E-01  5.333333611488E-01  6.034291982651E-01
2017-06-26  5.389884114265E-01  5.274666547775E-01  6.012167930603E-01
2017-06-27  4.894625842571E-01  4.952025711536E-01  5.790929198265E-01
2017-06-28  5.642781853676E-01  5.455514192581E-01  6.174682378769E-01
2017-06-29  5.458377003670E-01  5.285029411316E-01  6.091763377190E-01
2017-06-30  5.471300482750E-01  5.292865037918E-01  6.108347177505E-01
2017-07-03  5.655608177185E-01  5.436634421349E-01  6.176795363426E-01
2017-07-05  5.550289750099E-01  5.324813723564E-01  6.151297688484E-01
2017-07-06  4.789473712444E-01  5.031948685646E-01  5.908337831497E-01
2017-07-07  5.702261924744E-01  5.540180802345E-01  6.133480668068E-01
2017-07-10  5.278361439705E-01  5.220862030983E-01  5.920617580414E-01
2017-07-11  5.338582396507E-01  5.249734520912E-01  5.881057381630E-01
2017-07-12  5.884514451027E-01  5.568544268608E-01  6.004402637482E-01
2017-07-13  5.921260118484E-01  5.541976690292E-01  5.965877771378E-01
2017-07-14  5.886673927307E-01  5.430393218994E-01  5.968096852303E-01
2017-07-17  5.917190909386E-01  5.536662936211E-01  6.013179421425E-01
2017-07-18  5.833333134651E-01  5.446333885193E-01  5.954994559288E-01
2017-07-19  6.160293221474E-01  5.637619495392E-01  6.114160418510E-01
2017-07-20  6.120418906212E-01  5.685440897942E-01  6.059275269508E-01
2017-07-21  6.020942330360E-01  5.740839242935E-01  6.119648814201E-01
2017-07-24  6.083769798279E-01  5.751460194588E-01  6.101973652840E-01
2017-07-25  6.198952794075E-01  5.865180492401E-01  6.213698387146E-01
2017-07-26  6.120418906212E-01  5.743100047112E-01  6.120547652245E-01
2017-07-27  5.557299852371E-01  5.461783409119E-01  5.928767323494E-01
2017-07-28  5.475941300392E-01  5.429936051369E-01  5.906849503517E-01
